y,m,d,Hijri_Date,Hijri_Month_Name,greg_dt,Day_EN,Weekday_AR
1446,7,28,28-07-1446,رجب,2025-01-28,Tuesday,الثلاثاء
1446,7,29,29-07-1446,رجب,2025-01-29,Wednesday,الأربعاء
1446,7,30,30-07-1446,رجب,2025-01-30,Thursday,الخميس
1446,8,1,01-08-1446,شعبان,2025-01-31,Friday,الجمعة
1446,8,2,02-08-1446,شعبان,2025-02-01,Saturday,السبت
1446,8,3,03-08-1446,شعبان,2025-02-02,Sunday,الأحد
1446,8,4,04-08-1446,شعبان,2025-02-03,Monday,الاثنين
1446,8,5,05-08-1446,شعبان,2025-02-04,Tuesday,الثلاثاء
1446,8,6,06-08-1446,شعبان,2025-02-05,Wednesday,الأربعاء
1446,8,7,07-08-1446,شعبان,2025-02-06,Thursday,الخميس
1446,8,8,08-08-1446,شعبان,2025-02-07,Friday,الجمعة
1446,8,9,09-08-1446,شعبان,2025-02-08,Saturday,السبت
1446,8,10,10-08-1446,شعبان,2025-02-09,Sunday,الأحد
1446,8,11,11-08-1446,شعبان,2025-02-10,Monday,الاثنين
1446,8,12,12-08-1446,شعبان,2025-02-11,Tuesday,الثلاثاء
1446,8,13,13-08-1446,شعبان,2025-02-12,Wednesday,الأربعاء
1446,8,14,14-08-1446,شعبان,2025-02-13,Thursday,الخميس
1446,8,15,15-08-1446,شعبان,2025-02-14,Friday,الجمعة
1446,8,16,16-08-1446,شعبان,2025-02-15,Saturday,السبت
1446,8,17,17-08-1446,شعبان,2025-02-16,Sunday,الأحد
1446,8,18,18-08-1446,شعبان,2025-02-17,Monday,الاثنين
1446,8,19,19-08-1446,شعبان,2025-02-18,Tuesday,الثلاثاء
1446,8,20,20-08-1446,شعبان,2025-02-19,Wednesday,الأربعاء
1446,8,21,21-08-1446,شعبان,2025-02-20,Thursday,الخميس
1446,8,22,22-08-1446,شعبان,2025-02-21,Friday,الجمعة
1446,8,23,23-08-1446,شعبان,2025-02-22,Saturday,السبت
1446,8,24,24-08-1446,شعبان,2025-02-23,Sunday,الأحد
1446,8,25,25-08-1446,شعبان,2025-02-24,Monday,الاثنين
1446,8,26,26-08-1446,شعبان,2025-02-25,Tuesday,الثلاثاء
1446,8,27,27-08-1446,شعبان,2025-02-26,Wednesday,الأربعاء
1446,8,28,28-08-1446,شعبان,2025-02-27,Thursday,الخميس
1446,8,29,29-08-1446,شعبان,2025-02-28,Friday,الجمعة
1446,9,1,01-09-1446,رمضان,2025-03-01,Saturday,السبت
1446,9,2,02-09-1446,رمضان,2025-03-02,Sunday,الأحد
1446,9,3,03-09-1446,رمضان,2025-03-03,Monday,الاثنين
1446,9,4,04-09-1446,رمضان,2025-03-04,Tuesday,الثلاثاء
1446,9,5,05-09-1446,رمضان,2025-03-05,Wednesday,الأربعاء
1446,9,6,06-09-1446,رمضان,2025-03-06,Thursday,الخميس
1446,9,7,07-09-1446,رمضان,2025-03-07,Friday,الجمعة
1446,9,8,08-09-1446,رمضان,2025-03-08,Saturday,السبت
1446,9,9,09-09-1446,رمضان,2025-03-09,Sunday,الأحد
1446,9,10,10-09-1446,رمضان,2025-03-10,Monday,الاثنين
1446,9,11,11-09-1446,رمضان,2025-03-11,Tuesday,الثلاثاء
1446,9,12,12-09-1446,رمضان,2025-03-12,Wednesday,الأربعاء
1446,9,13,13-09-1446,رمضان,2025-03-13,Thursday,الخميس
1446,9,14,14-09-1446,رمضان,2025-03-14,Friday,الجمعة
1446,9,15,15-09-1446,رمضان,2025-03-15,Saturday,السبت
1446,9,16,16-09-1446,رمضان,2025-03-16,Sunday,الأحد
1446,9,17,17-09-1446,رمضان,2025-03-17,Monday,الاثنين
1446,9,18,18-09-1446,رمضان,2025-03-18,Tuesday,الثلاثاء
1446,9,19,19-09-1446,رمضان,2025-03-19,Wednesday,الأربعاء
1446,9,20,20-09-1446,رمضان,2025-03-20,Thursday,الخميس
1446,9,21,21-09-1446,رمضان,2025-03-21,Friday,الجمعة
1446,9,22,22-09-1446,رمضان,2025-03-22,Saturday,السبت
1446,9,23,23-09-1446,رمضان,2025-03-23,Sunday,الأحد
1446,9,24,24-09-1446,رمضان,2025-03-24,Monday,الاثنين
1446,9,25,25-09-1446,رمضان,2025-03-25,Tuesday,الثلاثاء
1446,9,26,26-09-1446,رمضان,2025-03-26,Wednesday,الأربعاء
1446,9,27,27-09-1446,رمضان,2025-03-27,Thursday,الخميس
1446,9,28,28-09-1446,رمضان,2025-03-28,Friday,الجمعة
1446,9,29,29-09-1446,رمضان,2025-03-29,Saturday,السبت
1446,10,1,01-10-1446,شوال,2025-03-30,Sunday,الأحد
1446,10,2,02-10-1446,شوال,2025-03-31,Monday,الاثنين
1446,10,3,03-10-1446,شوال,2025-04-01,Tuesday,الثلاثاء
1446,10,4,04-10-1446,شوال,2025-04-02,Wednesday,الأربعاء
1446,10,5,05-10-1446,شوال,2025-04-03,Thursday,الخميس
1446,10,6,06-10-1446,شوال,2025-04-04,Friday,الجمعة
1446,10,7,07-10-1446,شوال,2025-04-05,Saturday,السبت
1446,10,8,08-10-1446,شوال,2025-04-06,Sunday,الأحد
1446,10,9,09-10-1446,شوال,2025-04-07,Monday,الاثنين
1446,10,10,10-10-1446,شوال,2025-04-08,Tuesday,الثلاثاء
1446,10,11,11-10-1446,شوال,2025-04-09,Wednesday,الأربعاء
1446,10,12,12-10-1446,شوال,2025-04-10,Thursday,الخميس
1446,10,13,13-10-1446,شوال,2025-04-11,Friday,الجمعة
1446,10,14,14-10-1446,شوال,2025-04-12,Saturday,السبت
1446,10,15,15-10-1446,شوال,2025-04-13,Sunday,الأحد
1446,10,16,16-10-1446,شوال,2025-04-14,Monday,الاثنين
1446,10,17,17-10-1446,شوال,2025-04-15,Tuesday,الثلاثاء
1446,10,18,18-10-1446,شوال,2025-04-16,Wednesday,الأربعاء
1446,10,19,19-10-1446,شوال,2025-04-17,Thursday,الخميس
1446,10,20,20-10-1446,شوال,2025-04-18,Friday,الجمعة
1446,10,21,21-10-1446,شوال,2025-04-19,Saturday,السبت
1446,10,22,22-10-1446,شوال,2025-04-20,Sunday,الأحد
1446,10,23,23-10-1446,شوال,2025-04-21,Monday,الاثنين
1446,10,24,24-10-1446,شوال,2025-04-22,Tuesday,الثلاثاء
1446,10,25,25-10-1446,شوال,2025-04-23,Wednesday,الأربعاء
1446,10,26,26-10-1446,شوال,2025-04-24,Thursday,الخميس
